Time	M_lcts_b	M_glc_D_b	X	lacZ	
13.0	0.0	0.0	1.202391	2.0	
13.100000000000001	0.0	0.0	1.202391	2.0	
13.200000000000001	0.0	0.0	1.202391	2.0	
13.3	0.0	0.0	1.202391	2.0	
13.4	0.0	0.0	1.202391	2.0	
13.5	0.0	0.0	1.202391	2.0	
13.600000000000001	0.0	0.0	1.202391	2.0	
13.700000000000001	0.0	0.0	1.202391	2.0	
13.8	0.0	0.0	1.202391	2.0	
13.9	0.0	0.0	1.202391	2.0	
14.0	0.0	0.0	1.202391	2.0	
14.100000000000001	0.0	0.0	1.202391	2.0	
14.200000000000001	0.0	0.0	1.202391	2.0	
14.3	0.0	0.0	1.202391	2.0	
14.4	0.0	0.0	1.202391	2.0	
14.5	0.0	0.0	1.202391	2.0	
14.600000000000001	0.0	0.0	1.202391	2.0	
14.700000000000001	0.0	0.0	1.202391	2.0	
14.8	0.0	0.0	1.202391	2.0	
14.9	0.0	0.0	1.202391	2.0	
