Two reactions fluxes result

Flux1 : R_EX_glc_e
Flux2 : R_EX_o2_e
Objective : R_Biomass_Ecoli_core_w_GAM

Flux1	Flux2	Objective
-17.5	-19.0	1.095245
-17.5	-18.0	1.062749
-17.5	-17.5	1.0465
-17.5	-17.0	1.030252
-17.5	-16.0	0.997755
-17.5	-16.5	1.014004
-17.5	-15.0	0.965259
-17.5	-15.5	0.981507
-17.5	-14.5	0.94901
-17.5	-14.0	0.932762
-17.5	-13.5	0.916514
-17.5	-13.0	0.900265
-17.5	-12.5	0.884017
-17.5	-12.0	0.867769
-17.5	-11.5	0.85152
-17.5	-11.0	0.835272
-17.5	-10.5	0.818076
-17.5	-10.0	0.800077
-17.5	-9.5	0.782079
-17.5	-9.0	0.76408
-17.5	-8.0	0.728083
-17.5	-8.5	0.746081
-17.5	-7.5	0.710084
-17.5	-7.0	0.692086
-17.5	-6.5	0.674087
-17.5	-6.0	0.656089
-17.5	-5.5	0.63809
-17.5	-4.5	0.602093
-17.5	-5.0	0.620092
-17.5	-4.0	0.584094
-17.5	-3.5	0.566096
-17.5	-3.0	0.548097
-17.5	-2.5	0.530099
-17.5	-2.0	0.5121
-17.5	-1.5	0.494102
-17.5	-1.0	0.476103
-17.5	-0.5	0.458105
-17.5	0.0	0.440106
-17.0	-20.0	1.111494
-17.0	-19.5	1.095245
-17.0	-19.0	1.078997
-17.0	-18.5	1.062749
-17.0	-18.0	1.0465
-17.0	-17.5	1.030252
-17.0	-17.0	1.014004
-17.0	-16.5	0.997755
-17.0	-16.0	0.981507
-17.0	-15.5	0.965259
-17.0	-15.0	0.94901
-17.0	-14.5	0.932762
-17.0	-14.0	0.916514
-17.0	-13.5	0.900265
-17.0	-13.0	0.884017
-17.0	-12.5	0.867769
-17.0	-12.0	0.85152
-17.0	-11.5	0.835272
-17.0	-11.0	0.819024
-17.0	-10.5	0.802775
-17.0	-10.0	0.784848
-17.0	-9.5	0.766849
-17.0	-8.5	0.730852
-17.0	-9.0	0.74885
-17.0	-8.0	0.712853
-17.0	-7.5	0.694855
-17.0	-7.0	0.676856
-17.0	-6.0	0.640859
-17.0	-6.5	0.658858
-17.0	-5.5	0.622861
-17.0	-5.0	0.604862
-17.0	-4.5	0.586863
-17.0	-4.0	0.568865
-17.0	-3.5	0.550866
-17.0	-3.0	0.532868
-17.0	-2.5	0.514869
-17.0	-2.0	0.496871
-17.0	-1.5	0.478872
-17.0	-1.0	0.460874
-17.0	-0.5	0.442875
-17.0	0.0	0.424877
-16.5	-20.0	1.095245
-16.5	-19.5	1.078997
-16.5	-19.0	1.062749
-16.5	-18.5	1.0465
-16.5	-18.0	1.030252
-16.5	-17.5	1.014004
-16.5	-17.0	0.997755
-16.5	-16.5	0.981507
-16.5	-16.0	0.965259
-16.5	-15.5	0.94901
-16.5	-15.0	0.932762
-16.5	-14.5	0.916514
-16.5	-14.0	0.900265
-16.5	-13.5	0.884017
-16.5	-13.0	0.867769
-16.5	-12.0	0.835272
-16.5	-12.5	0.85152
-16.5	-11.5	0.819024
-16.5	-11.0	0.802775
-16.5	-10.5	0.786527
-16.5	-10.0	0.769618
-16.5	-9.5	0.751619
-16.5	-9.0	0.733621
-16.5	-8.5	0.715622
-16.5	-8.0	0.697624
-16.5	-7.5	0.679625
-16.5	-7.0	0.661627
-16.5	-6.5	0.643628
-16.5	-6.0	0.62563
-16.5	-5.5	0.607631
-16.5	-5.0	0.589633
-16.5	-4.5	0.571634
-16.5	-4.0	0.553635
-16.5	-3.5	0.535637
-16.5	-2.5	0.49964
-16.5	-3.0	0.517638
-16.5	-2.0	0.481641
-16.5	-1.5	0.463643
-16.5	-1.0	0.445644
-16.5	-0.5	0.427646
-16.5	0.0	0.409647
-16.0	-20.0	1.078997
-16.0	-19.5	1.062749
-16.0	-19.0	1.0465
-16.0	-18.5	1.030252
-16.0	-18.0	1.014004
-16.0	-17.5	0.997755
-16.0	-17.0	0.981507
-16.0	-16.5	0.965259
-16.0	-16.0	0.94901
-16.0	-15.5	0.932762
-16.0	-15.0	0.916514
-16.0	-14.5	0.900265
-16.0	-14.0	0.884017
-16.0	-13.5	0.867769
-16.0	-13.0	0.85152
-16.0	-12.5	0.835272
-16.0	-12.0	0.819024
-16.0	-11.5	0.802775
-16.0	-10.5	0.770279
-16.0	-11.0	0.786527
-16.0	-10.0	0.75403
-16.0	-9.5	0.73639
-16.0	-9.0	0.718391
-16.0	-8.5	0.700393
-16.0	-8.0	0.682394
-16.0	-7.5	0.664396
-16.0	-7.0	0.646397
-16.0	-6.5	0.628399
-16.0	-6.0	0.6104
-16.0	-5.5	0.592402
-16.0	-5.0	0.574403
-16.0	-4.5	0.556404
-16.0	-4.0	0.538406
-16.0	-3.5	0.520407
-16.0	-3.0	0.502409
-16.0	-2.5	0.48441
-16.0	-2.0	0.466412
-16.0	-1.5	0.448413
-16.0	-1.0	0.430415
-16.0	-0.5	0.412416
-16.0	0.0	0.394417
-15.5	-20.0	1.062749
-15.5	-19.5	1.0465
-15.5	-19.0	1.030252
-15.5	-18.5	1.014004
-15.5	-18.0	0.997755
-15.5	-17.5	0.981507
-15.5	-17.0	0.965259
-15.5	-16.5	0.94901
-15.5	-16.0	0.932762
-15.5	-15.5	0.916514
-15.5	-14.5	0.884017
-15.5	-15.0	0.900265
-15.5	-14.0	0.867769
-15.5	-13.5	0.85152
-15.5	-13.0	0.835272
-15.5	-12.5	0.819024
-15.5	-12.0	0.802775
-15.5	-11.5	0.786527
-15.5	-11.0	0.770279
-15.5	-10.5	0.75403
-15.5	-10.0	0.737782
-15.5	-9.5	0.72116
-15.5	-9.0	0.703162
-15.5	-8.5	0.685163
-15.5	-8.0	0.667165
-15.5	-7.5	0.649166
-15.5	-7.0	0.631168
-15.5	-6.5	0.613169
-15.5	-6.0	0.595171
-15.5	-5.5	0.577172
-15.5	-5.0	0.559173
-15.5	-4.5	0.541175
-15.5	-4.0	0.523176
-15.5	-3.5	0.505178
-15.5	-3.0	0.487179
-15.5	-2.0	0.451182
-15.5	-2.5	0.469181
-15.5	-1.5	0.433184
-15.5	-1.0	0.415185
-15.5	-0.5	0.397186
-15.5	0.0	0.379188
-15.0	-20.0	1.0465
-15.0	-19.5	1.030252
-15.0	-19.0	1.014004
-15.0	-18.5	0.997755
-15.0	-17.5	0.965259
-15.0	-18.0	0.981507
-15.0	-16.5	0.932762
-15.0	-16.0	0.916514
