R_GALCTNLt2pp	1.000000 M_galctn_L_p + 1.000000 M_h_p = 1.000000 M_galctn_L_c + 1.000000 M_h_c	0.000000	999999.000000	#1.000000 M_L_Galactonate_C6H11O7 + 1.000000 M_H_H = 1.000000 M_L_Galactonate_C6H11O7 + 1.000000 M_H_H
R_GAMtex	1.000000 M_gam_e = 1.000000 M_gam_p	-999999.000000	999999.000000	#1.000000 M_D_Glucosamine_C6H14NO5 = 1.000000 M_D_Glucosamine_C6H14NO5
R_ALPATG160pp	1.000000 M_alpp_p + 1.000000 M_pg160_p = 1.000000 M_lpp_p + 1.000000 M_2agpg160_p	0.000000	999999.000000	#1.000000 M_applipoprotein_X + 1.000000 M_Phosphatidylglycerol__dihexadecanoyl__n_C160__C38H74O10P1 = 1.000000 M_lipoprotein_XC16H30O1 + 1.000000 M_2_Acyl_sn_glycero_3_phosphoglycerol__n_C160__C22H44O9P1
R_PSERtex	1.000000 M_pser_L_e = 1.000000 M_pser_L_p	-999999.000000	999999.000000	#1.000000 M_O_Phospho_L_serine_C3H6NO6P = 1.000000 M_O_Phospho_L_serine_C3H6NO6P
R_MTHFC	1.000000 M_methf_c + 1.000000 M_h2o_c = 1.000000 M_10fthf_c + 1.000000 M_h_c	-999999.000000	999999.000000	#1.000000 M_5_10_Methenyltetrahydrofolate_C20H20N7O6 + 1.000000 M_H2O_H2O = 1.000000 M_10_Formyltetrahydrofolate_C20H21N7O7 + 1.000000 M_H_H
R_CLPNS120pp	2.000000 M_pg120_p = 1.000000 M_clpn120_p + 1.000000 M_glyc_p	-999999.000000	999999.000000	#2.000000 M_Phosphatidylglycerol__didodecanoyl__n_C120__C30H58O10P1 = 1.000000 M_cardiolipin__tetradodecanoyl__n_C120__C57H108O17P2 + 1.000000 M_Glycerol_C3H8O3
R_K2L4Aabcpp	1.000000 M_kdo2lipid4_c + 1.000000 M_atp_c + 1.000000 M_h2o_c = 1.000000 M_pi_c + 1.000000 M_h_c + 1.000000 M_adp_c + 1.000000 M_kdo2lipid4_p	0.000000	999999.000000	#1.000000 M_KDO_2__lipid_IV_A__C84H148N2O37P2 + 1.000000 M_ATP_C10H12N5O13P3 + 1.000000 M_H2O_H2O = 1.000000 M_Phosphate_HO4P + 1.000000 M_H_H + 1.000000 M_ADP_C10H12N5O10P2 + 1.000000 M_KDO_2__lipid_IV_A__C84H148N2O37P2
R_MTHFD	1.000000 M_mlthf_c + 1.000000 M_nadp_c = 1.000000 M_nadph_c + 1.000000 M_methf_c	-999999.000000	999999.000000	#1.000000 M_5_10_Methylenetetrahydrofolate_C20H21N7O6 + 1.000000 M_Nicotinamide_adenine_dinucleotide_phosphate_C21H25N7O17P3 = 1.000000 M_Nicotinamide_adenine_dinucleotide_phosphate___reduced_C21H26N7O17P3 + 1.000000 M_5_10_Methenyltetrahydrofolate_C20H20N7O6
R_THRD_L	1.000000 M_thr_L_c = 1.000000 M_nh4_c + 1.000000 M_2obut_c	0.000000	999999.000000	#1.000000 M_L_Threonine_C4H9NO3 = 1.000000 M_Ammonium_H4N + 1.000000 M_2_Oxobutanoate_C4H5O3
R_GLNTRS	1.000000 M_atp_c + 1.000000 M_trnagln_c + 1.000000 M_gln_L_c = 1.000000 M_ppi_c + 1.000000 M_glntrna_c + 1.000000 M_amp_c	0.000000	999999.000000	#1.000000 M_ATP_C10H12N5O13P3 + 1.000000 M_tRNA_Gln__R + 1.000000 M_L_Glutamine_C5H10N2O3 = 1.000000 M_Diphosphate_HO7P2 + 1.000000 M_L_Glutaminyl_tRNA_Gln__C5H9N2O2R + 1.000000 M_AMP_C10H12N5O7P
R_DHAPT	1.000000 M_pep_c + 1.000000 M_dha_c = 1.000000 M_pyr_c + 1.000000 M_dhap_c	0.000000	999999.000000	#1.000000 M_Phosphoenolpyruvate_C3H2O6P + 1.000000 M_Dihydroxyacetone_C3H6O3 = 1.000000 M_Pyruvate_C3H3O3 + 1.000000 M_Dihydroxyacetone_phosphate_C3H5O6P
R_PAPA160pp	1.000000 M_pa160_p + 1.000000 M_h2o_p = 1.000000 M_12dgr160_p + 1.000000 M_pi_p	0.000000	999999.000000	#1.000000 M_1_2_dihexadecanoyl_sn_glycerol_3_phosphate_C35H67O8P1 + 1.000000 M_H2O_H2O = 1.000000 M_1_2_Diacyl_sn_glycerol__dihexadecanoyl__n_C160__C35H68O5 + 1.000000 M_Phosphate_HO4P
R_CDPMEK	1.000000 M_atp_c + 1.000000 M_4c2me_c = 1.000000 M_h_c + 1.000000 M_adp_c + 1.000000 M_2p4c2me_c	0.000000	999999.000000	#1.000000 M_ATP_C10H12N5O13P3 + 1.000000 M_4__cytidine_5__diphospho__2_C_methyl_D_erythritol_C14H23N3O14P2 = 1.000000 M_H_H + 1.000000 M_ADP_C10H12N5O10P2 + 1.000000 M_2_phospho_4__cytidine_5__diphospho__2_C_methyl_D_erythritol_C14H22N3O17P3
R_EX_g1p_e_	1.000000 M_g1p_e = 1.000000 M_g1p_b_externalM	0.000000	999999.000000	#1.000000 M_D_Glucose_1_phosphate_C6H11O9P = 1.000000 M_D_Glucose_1_phosphate_C6H11O9P
R_TYMtex	1.000000 M_tym_e = 1.000000 M_tym_p	-999999.000000	999999.000000	#1.000000 M_Tyramine_C8H12NO = 1.000000 M_Tyramine_C8H12NO
R_EX_alltn_e_	1.000000 M_alltn_e = 1.000000 M_alltn_b_externalM	0.000000	999999.000000	#1.000000 M_Allantoin_C4H6N4O3 = 1.000000 M_Allantoin_C4H6N4O3
R_HEPT2	1.000000 M_hlipa_c + 1.000000 M_adphep_LD_c = 1.000000 M_hhlipa_c + 1.000000 M_h_c + 1.000000 M_adp_c	0.000000	999999.000000	#1.000000 M_heptosyl_kdo2_lipidA_C117H208N2O45P2 + 1.000000 M_ADP_L_glycero_D_manno_heptose_C17H25N5O16P2 = 1.000000 M_heptosyl_heptosyl_kdo2_lipidA_C124H220N2O51P2 + 1.000000 M_H_H + 1.000000 M_ADP_C10H12N5O10P2
R_PROtex	1.000000 M_pro_L_e = 1.000000 M_pro_L_p	-999999.000000	999999.000000	#1.000000 M_L_Proline_C5H9NO2 = 1.000000 M_L_Proline_C5H9NO2
R_PGMT	1.000000 M_g1p_c = 1.000000 M_g6p_c	-999999.000000	999999.000000	#1.000000 M_D_Glucose_1_phosphate_C6H11O9P = 1.000000 M_D_Glucose_6_phosphate_C6H11O9P
R_OXGDC2	1.000000 M_akg_c + 1.000000 M_h_c + 1.000000 M_thmpp_c = 1.000000 M_ssaltpp_c + 1.000000 M_co2_c	0.000000	999999.000000	#1.000000 M_2_Oxoglutarate_C5H4O5 + 1.000000 M_H_H + 1.000000 M_Thiamine_diphosphate_C12H16N4O7P2S = 1.000000 M_Succinate_semialdehyde_thiamin_diphosphate_anion_C16H21N4O10P2S + 1.000000 M_CO2_CO2
R_HEPT3	1.000000 M_phhlipa_c + 1.000000 M_adphep_LD_c = 1.000000 M_adp_c + 1.000000 M_hphhlipa_c + 1.000000 M_h_c	0.000000	999999.000000	#1.000000 M_phospho_heptosyl_heptosyl_kdo2_lipidA_C124H219N2O54P3 + 1.000000 M_ADP_L_glycero_D_manno_heptose_C17H25N5O16P2 = 1.000000 M_ADP_C10H12N5O10P2 + 1.000000 M_heptosyl_phospho_heptosyl_heptosyl_kdo2_lipidA_C131H231N2O60P3 + 1.000000 M_H_H
R_HEPT4	1.000000 M_gggagicolipa_c + 1.000000 M_adphep_LD_c = 1.000000 M_colipa_c + 1.000000 M_adp_c + 1.000000 M_h_c	0.000000	999999.000000	#1.000000 M_glucosyl_glucosyl_galactosyl_glucosyl_inner_core_oligosaccharide_lipid_A_C169H291N2O94P4 + 1.000000 M_ADP_L_glycero_D_manno_heptose_C17H25N5O16P2 = 1.000000 M_core_oligosaccharide_lipid_A_C176H303N2O100P4 + 1.000000 M_ADP_C10H12N5O10P2 + 1.000000 M_H_H
